iter	Passed	Remaining
0	168	168164
1	173	86749
2	179	59578
3	183	45748
4	186	37205
5	191	31739
6	193	27456
7	195	24261
8	197	21733
9	198	19682
10	200	18013
11	202	16634
12	204	15557
13	206	14577
14	208	13682
15	209	12882
16	210	12179
17	211	11542
18	212	10972
19	213	10459
20	214	9999
21	215	9574
22	216	9180
23	217	8831
24	219	8551
25	221	8306
26	223	8037
27	224	7776
28	224	7530
29	225	7302
30	226	7091
31	227	6893
32	228	6704
33	229	6522
34	230	6350
35	231	6187
36	232	6041
37	234	5930
38	236	5828
39	237	5697
40	238	5572
41	239	5452
42	239	5338
43	240	5229
44	241	5124
45	242	5023
46	242	4926
47	243	4834
48	244	4745
49	245	4660
50	246	4578
51	247	4505
52	249	4451
53	250	4392
54	251	4323
55	252	4255
56	253	4188
57	253	4124
58	254	4062
59	255	4002
60	256	3944
61	256	3888
62	257	3833
63	258	3781
64	259	3730
65	260	3680
66	260	3632
67	261	3588
68	263	3558
69	265	3521
70	265	3478
71	266	3438
72	267	3399
73	268	3360
74	269	3321
75	270	3283
76	270	3246
77	271	3210
78	272	3175
79	273	3140
80	273	3107
81	274	3075
82	275	3039
83	275	3008
84	277	2982
85	278	2957
86	280	2947
87	281	2921
88	282	2893
89	283	2865
90	284	2839
91	285	2812
92	285	2787
93	286	2761
94	287	2736
95	287	2711
96	288	2687
97	289	2664
98	290	2640
99	290	2618
100	292	2599
101	293	2586
102	296	2580
103	297	2559
104	297	2538
105	298	2518
106	299	2498
107	300	2479
108	300	2459
109	301	2440
110	302	2423
111	303	2404
112	304	2387
113	304	2369
114	305	2352
115	306	2336
116	307	2323
117	309	2312
118	310	2296
119	310	2280
120	311	2264
121	312	2247
122	313	2232
123	313	2217
124	314	2203
125	315	2188
126	316	2173
127	316	2159
128	317	2145
129	318	2131
130	319	2117
131	320	2104
132	320	2091
133	321	2079
134	323	2075
135	324	2063
136	325	2050
137	326	2038
138	327	2026
139	327	2013
140	328	2002
141	329	1988
142	329	1977
143	330	1965
144	331	1954
145	332	1943
146	333	1932
147	333	1922
148	334	1911
149	335	1900
150	336	1890
151	337	1880
152	338	1874
153	339	1865
154	340	1854
155	341	1844
156	341	1835
157	342	1825
158	343	1815
159	344	1806
160	344	1795
161	345	1786
162	346	1777
163	346	1768
164	347	1759
165	348	1750
166	349	1742
167	350	1733
168	350	1725
169	351	1717
170	353	1711
171	354	1704
172	354	1696
173	355	1687
174	356	1680
175	357	1672
